Event	ID	Name			Wwise Object Path	Notes
	216307738	Player_Grab_WaterDroplets			\Player\Player_Grab_WaterDroplets	
	733800440	Music_Theme			\Music\Music_Theme	
	1780308710	Footsteps_Walk			\Player\Footsteps_Walk	
	2144758952	Player_Eat_Apple			\Player\Player_Eat_Apple	
	2462760816	Footsteps_Run			\Player\Footsteps_Run	
	2932059033	Player_Throwing			\Player\Player_Throwing	
	3402891275	Ants			\Other\Ants	

Switch Group	ID	Name			Wwise Object Path	Notes
	1230601154	Surface_Material			\Default Work Unit\Surface_Material	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Surface_Material			
	2058049674	Wood	Surface_Material			
	2195636714	Dirt	Surface_Material			
	4248645337	Grass	Surface_Material			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28407776	FallingInTheGround_03	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\FallingInTheGround_C4893EA6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Actions\Throwing\FallingInTheGround\FallingInTheGround_03		141304
	38079846	Grass_Run_02	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Grass_Walk_AD72FD82.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps_Surface_Run\Grass_Run\Grass_Run_02		56876
	128346386	Drums Second Section	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Drums Third Section_FBC78EF0.wem		\Interactive Music Hierarchy\Music\Music Theme\Second Section\Drums Second Section		4233696
	132173985	Bass Second Section	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Bass Third Section_FBC78EF0.wem		\Interactive Music Hierarchy\Music\Music Theme\Second Section\Bass Second Section		4233696
	186135048	FallingInTheGround_01	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\FallingInTheGround_1B2F1D44.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Actions\Throwing\FallingInTheGround\FallingInTheGround_01		99104
	194604184	Ants	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Termites and Ants ｜ Royalty Free Sound Effects_09963D65.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ants\Ants\Ants		132164
	200737823	Dirt_Run	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Dirt_Walk_A8F34EC9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps_Surface_Run\Dirt_Run\Dirt_Run		42096
	239016504	Drums Middle Section	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Drums Middle Section_FBC78EF0.wem		\Interactive Music Hierarchy\Music\Music Theme\Middle Section\Drums Middle Section		4233696
	242544117	First Section Violin Arppegio Ex at 5	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\First Section Violin Arppegio Ex at 5_FBC78EF0.wem		\Interactive Music Hierarchy\Music\Music Theme\First Section\First Section Violin Arppegio Ex at 5		4233696
	328708487	Synth Theme  Middle Section	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Brass Lick Middle Section_FBC78EF0.wem		\Interactive Music Hierarchy\Music\Music Theme\Middle Section\Synth Theme  Middle Section		4233696
	330715992	Wood_Run	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Wood_Walk_072AB6E3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps_Surface_Run\Wood_ Run\Wood_Run		28320
	341014460	Dirt_Walk_01	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Dirt_Walk_09F6623B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps_Surface_Walk\Dirt_Walk\Dirt_Walk_01		71020
	403688251	Concrete_Walk_02	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Concrete_Walk_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps_Surface_Walk\Concrete_Walk\Concrete_Walk_02		101732
	422475071	Wood_Run_02	C:\Users\evert\Documents\WwiseProjects\GMTK Game Jam 1\.cache\Windows\SFX\Wood_Walk_46C1047D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps_Surface_Run\Wood_ Run\Wood_Run_02		28320
